2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,1000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,2000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,3000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,4000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,5000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,1000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,2000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,3000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,4000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,5000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,1000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,2000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,3000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,4000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,5000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,1000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,2000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,3000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,4000000,100-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,BUY,5000000,99-000,DONE,
2023-12-24 11:19:04.132 ,1DWCEBRH9LQ4,,SELL,1000000,100-000,DONE,
